Date,Reference ID,Amount,Charges,GST Amount,Total,Created At
11/08/2025,PAYS86123140,4000,62,11.16,4073.16,2025-08-11T12:52:13.429Z
11/08/2025,PAYS48902207,2477,38.39,6.91,2522.3,2025-08-11T12:52:15.695Z
11/08/2025,PAYS13319852,3000,46.5,8.37,3054.87,2025-08-11T12:52:20.493Z
11/08/2025,PAYS90667280,4500,69.75,12.55,4582.31,2025-08-11T12:52:29.863Z
11/08/2025,PAYS71098332,1186,18.38,3.31,1207.69,2025-08-11T13:28:52.555Z
11/08/2025,PAYS18878464,1824,28.27,5.09,1857.36,2025-08-11T13:31:25.528Z
,,,,,,
SUMMARY,,,,,,
Total Transactions,72,,,,,
Total Amount,,289435.08,,,,
Total Charges,,,4486.24,,,
Total GST,,,,807.52,,
Grand Total,,,,,294728.85,
